序号,区属,项目名称,项目地址,开发企业,可售住宅总规模（㎡）
110,新洲区,楚天都市·蓝玉湾,阳逻经济开发区黄土村,武汉临江泽城房地产开发有限公司,9064.8
111,新洲区,大悦城控股|孔雀城·锦云航天府,双柳街航天北路48号,武汉裕中丰房地产开发有限公司,5456.92
112,新洲区,航天悦府,双柳街航天北路49号,武汉裕灿房地产开发有限公司,20751.64
113,新洲区,华发阳逻金茂逸墅二期,阳逻街万山村,武汉华璋房地产开发有限公司,23829.96
114,新洲区,佳阳·大都府,阳逻街开发区红岭村,湖北昊大投资有限公司,28526.08
115,新洲区,孔雀城宝业公馆,双柳街阳大公路203号,武汉裕筑房地产开发有限公司,20419.36
116,新洲区,清能熙悦台,阳逻开发区黄土村,武汉临江宏城房地产开发有限公司,72000
117,新洲区,阳逻万达广场御江,阳逻街翔飞路10号,武汉新洲万达地产开发有限公司,29120
118,新洲区,中城水岸,阳逻街平江大道以北、倒水河以西,武汉阳逻水乡度假村管理有限公司,9121.52
119,新洲区,武地·融创水韵长洲,邾城街民防路以东、古城大道以西,武汉地控津城房地产开发有限责任公司,26796.15
120,汉南区,海伦堡·金科·集美水岸,东荆街金发路以南,武汉市藩秀房地产开发有限公司,27224.76
121,汉南区,时代海伦堡印记,纱帽街坛山路以南、金城路以北,武汉钊启房地产开发有限公司,28339.62
122,汉南区,武汉恒大时代新城,东荆街育文路以西，马影河大道以北,武汉楚水云山农业开发有限公司,50393.06
123,汉南区,星悦湾,纱帽街滨河大道以东、月亮湾路以南,武汉新泽新置业有限公司,22199.06
124,汉南区,依云水岸,纱帽街纱帽大道以西、周家河路以南,武汉招喆汉都置业有限公司,20856.44
125,汉南区,渝樾大观,东荆街马影河大道以北，纱帽大道以东,武汉业锦房地产开发有限公司,56395.16
126,汉南区,紫阳天玺（二期A区）,纱帽街纱帽正街,武汉紫阳天投资管理有限公司,65159.52
